sample_id;subspecies;p1_id;p1_date;pv1_id;pv1_value_id;pv1_phenotype_id;pv1_number;p2_id;p2_date;pv2_id;pv2_value_id;pv2_phenotype_id;pv2_number;entity_id;is_valid;value
1074511;1;14877;2011-09-29;12304;55;14877;0.778;13551;2011-09-05;11175;69;13551;0.108;366;6;7.20370
1074511;1;14877;2011-09-29;12304;55;14877;0.778;15041;2011-10-04;12468;69;15041;0.09;366;7;8.64444
1074512;1;13361;2011-09-01;10985;55;13361;1.098;13610;2011-09-05;11234;69;13610;0.123;366;7;8.92683
1074512;1;13361;2011-09-01;10985;55;13361;1.098;15042;2011-10-04;12469;69;15042;0.054;366;2;20.33333
1074512;1;14878;2011-09-29;12305;55;14878;0.411;13610;2011-09-05;11234;69;13610;0.123;366;6;3.34146
1074512;1;14878;2011-09-29;12305;55;14878;0.411;15042;2011-10-04;12469;69;15042;0.054;366;7;7.61111
1074513;1;13364;2011-09-01;10988;55;13364;0.95;13613;2011-09-05;11237;69;13613;0.098;366;7;9.69388
1074513;1;13364;2011-09-01;10988;55;13364;0.95;15043;2011-10-04;12470;69;15043;0.09;366;6;10.55556
1074513;1;14879;2011-09-29;12306;55;14879;0.745;13613;2011-09-05;11237;69;13613;0.098;366;6;7.60204
1074513;1;14879;2011-09-29;12306;55;14879;0.745;15043;2011-10-04;12470;69;15043;0.09;366;7;8.27778
1074515;1;13413;2011-09-01;11037;55;13413;0.828;13544;2011-09-05;11168;69;13544;0.093;366;7;8.90323
1074515;1;13413;2011-09-01;11037;55;13413;0.828;15044;2011-10-04;12471;69;15044;0.104;366;6;7.96154
1074515;1;14930;2011-09-29;12357;55;14930;0.788;13544;2011-09-05;11168;69;13544;0.093;366;6;8.47312
1074515;1;14930;2011-09-29;12357;55;14930;0.788;15044;2011-10-04;12471;69;15044;0.104;366;7;7.57692
1074516;1;13416;2011-09-01;11040;55;13416;0.491;13525;2011-09-05;11149;69;13525;0.059;366;7;8.32203
1074516;1;13416;2011-09-01;11040;55;13416;0.491;15045;2011-10-04;12472;69;15045;0.145;366;6;3.38621
1074516;1;14932;2011-09-29;12359;55;14932;1.375;13525;2011-09-05;11149;69;13525;0.059;366;2;23.30508
1074516;1;14932;2011-09-29;12359;55;14932;1.375;15045;2011-10-04;12472;69;15045;0.145;366;7;9.48276
1074517;1;13415;2011-09-01;11039;55;13415;1.129;13534;2011-09-05;11158;69;13534;0.117;366;7;9.64957
1074517;1;13415;2011-09-01;11039;55;13415;1.129;15046;2011-10-04;12473;69;15046;0.135;366;6;8.36296
1074517;1;14931;2011-09-29;12358;55;14931;1.098;13534;2011-09-05;11158;69;13534;0.117;366;6;9.38462
1074517;1;14931;2011-09-29;12358;55;14931;1.098;15046;2011-10-04;12473;69;15046;0.135;366;7;8.13333
1074518;1;13414;2011-09-01;11038;55;13414;0.842;13541;2011-09-05;11165;69;13541;0.095;366;7;8.86316
1074518;1;13414;2011-09-01;11038;55;13414;0.842;15047;2011-10-04;12474;69;15047;0.089;366;6;9.46067
1074518;1;14929;2011-09-29;12356;55;14929;0.688;13541;2011-09-05;11165;69;13541;0.095;366;6;7.24211
1074518;1;14929;2011-09-29;12356;55;14929;0.688;15047;2011-10-04;12474;69;15047;0.089;366;7;7.73034
1074519;1;12125;2011-08-29;9949;55;12125;0.626;12762;2011-08-31;10386;69;12762;0.079;366;7;7.92405
1074519;1;12125;2011-08-29;9949;55;12125;0.626;14769;2011-09-29;12196;69;14769;0.080;366;6;7.82500
1074519;1;14191;2011-09-26;11815;55;14191;0.615;12762;2011-08-31;10386;69;12762;0.079;366;6;7.78481
1074519;1;14191;2011-09-26;11815;55;14191;0.615;14769;2011-09-29;12196;69;14769;0.080;366;7;7.68750
1074520;1;12126;2011-08-29;9950;55;12126;0.576;12751;2011-08-31;10375;69;12751;0.075;366;7;7.68000
1074520;1;12126;2011-08-29;9950;55;12126;0.576;14766;2011-09-29;12193;69;14766;0.071;366;6;8.11268
1074520;1;14192;2011-09-26;11816;55;14192;0.503;12751;2011-08-31;10375;69;12751;0.075;366;6;6.70667
1074520;1;14192;2011-09-26;11816;55;14192;0.503;14766;2011-09-29;12193;69;14766;0.071;366;7;7.08451
1074521;1;12128;2011-08-29;9952;55;12128;0.697;12770;2011-08-31;10394;69;12770;0.079;366;7;8.82278
1074521;1;12128;2011-08-29;9952;55;12128;0.697;14774;2011-09-29;12201;69;14774;0.081;366;6;8.60494
1074521;1;14190;2011-09-26;11814;55;14190;0.558;12770;2011-08-31;10394;69;12770;0.079;366;6;7.06329
1074521;1;14190;2011-09-26;11814;55;14190;0.558;14774;2011-09-29;12201;69;14774;0.081;366;7;6.88889
1074522;1;12127;2011-08-29;9951;55;12127;0.432;12778;2011-08-31;10402;69;12778;0.058;366;7;7.44828
1074522;1;12127;2011-08-29;9951;55;12127;0.432;14779;2011-09-29;12206;69;14779;0.061;366;6;7.08197
1074522;1;14189;2011-09-26;11813;55;14189;0.429;12778;2011-08-31;10402;69;12778;0.058;366;6;7.39655
1074522;1;14189;2011-09-26;11813;55;14189;0.429;14779;2011-09-29;12206;69;14779;0.061;366;7;7.03279
1074524;1;12144;2011-08-29;9968;55;12144;0.929;12695;2011-08-31;10319;69;12695;0.108;366;7;8.60185
1074524;1;12144;2011-08-29;9968;55;12144;0.929;14797;2011-09-29;12224;69;14797;0.051;366;2;18.21569
1074524;1;14207;2011-09-26;11831;55;14207;0.352;12695;2011-08-31;10319;69;12695;0.108;366;6;3.25926
1074524;1;14207;2011-09-26;11831;55;14207;0.352;14797;2011-09-29;12224;69;14797;0.051;366;7;6.90196
1074525;1;12143;2011-08-29;9967;55;12143;0.628;12712;2011-08-31;10336;69;12712;0.077;366;7;8.15584
1074525;1;12143;2011-08-29;9967;55;12143;0.628;14808;2011-09-29;12235;69;14808;0.131;366;6;4.79389
1074525;1;14205;2011-09-26;11829;55;14205;1.169;12712;2011-08-31;10336;69;12712;0.077;366;2;15.18182
1074525;1;14205;2011-09-26;11829;55;14205;1.169;14808;2011-09-29;12235;69;14808;0.131;366;7;8.92366
1074526;1;12141;2011-08-29;9965;55;12141;0.497;12692;2011-08-31;10316;69;12692;0.064;366;7;7.76562
1074526;1;12141;2011-08-29;9965;55;12141;0.497;14799;2011-09-29;12226;69;14799;0.108;366;6;4.60185
1074526;1;14206;2011-09-26;11830;55;14206;0.929;12692;2011-08-31;10316;69;12692;0.064;366;6;14.51562
1074526;1;14206;2011-09-26;11830;55;14206;0.929;14799;2011-09-29;12226;69;14799;0.108;366;7;8.60185
1074527;1;12142;2011-08-29;9966;55;12142;0.71;12707;2011-08-31;10331;69;12707;0.083;366;7;8.55422
1074527;1;12142;2011-08-29;9966;55;12142;0.71;14792;2011-09-29;12219;69;14792;0.052;366;6;13.65385
1074527;1;14208;2011-09-26;11832;55;14208;0.369;12707;2011-08-31;10331;69;12707;0.083;366;6;4.44578
1074527;1;14208;2011-09-26;11832;55;14208;0.369;14792;2011-09-29;12219;69;14792;0.052;366;7;7.09615
1074528;1;12192;2011-08-29;10016;55;12192;0.698;12738;2011-08-31;10362;69;12738;0.085;366;7;8.21176
1074528;1;12192;2011-08-29;10016;55;12192;0.698;14835;2011-09-29;12262;69;14835;0.185;366;6;3.77297
1074528;1;14249;2011-09-26;11873;55;14249;1.857;12738;2011-08-31;10362;69;12738;0.085;366;2;21.84706
1074528;1;14249;2011-09-26;11873;55;14249;1.857;14835;2011-09-29;12262;69;14835;0.185;366;7;10.03784
1074529;1;12190;2011-08-29;10014;55;12190;1.042;12735;2011-08-31;10359;69;12735;0.103;366;7;10.11650
1074529;1;12190;2011-08-29;10014;55;12190;1.042;14841;2011-09-29;12268;69;14841;0.081;366;6;12.86420
1074529;1;14250;2011-09-26;11874;55;14250;0.599;12735;2011-08-31;10359;69;12735;0.103;366;6;5.81553
1074529;1;14250;2011-09-26;11874;55;14250;0.599;14841;2011-09-29;12268;69;14841;0.081;366;7;7.39506
1074530;1;12189;2011-08-29;10013;55;12189;0.704;12723;2011-08-31;10347;69;12723;0.084;366;7;8.38095
1074530;1;12189;2011-08-29;10013;55;12189;0.704;14823;2011-09-29;12250;69;14823;0.085;366;6;8.28235
1074530;1;14251;2011-09-26;11875;55;14251;0.656;12723;2011-08-31;10347;69;12723;0.084;366;6;7.80952
1074530;1;14251;2011-09-26;11875;55;14251;0.656;14823;2011-09-29;12250;69;14823;0.085;366;7;7.71765
1074531;1;12191;2011-08-29;10015;55;12191;0.641;12736;2011-08-31;10360;69;12736;0.082;366;7;7.81707
1074531;1;12191;2011-08-29;10015;55;12191;0.641;14820;2011-09-29;12247;69;14820;0.084;366;6;7.63095
1074531;1;14252;2011-09-26;11876;55;14252;0.645;12736;2011-08-31;10360;69;12736;0.082;366;6;7.86585
1074531;1;14252;2011-09-26;11876;55;14252;0.645;14820;2011-09-29;12247;69;14820;0.084;366;7;7.67857
1074532;1;12111;2011-08-29;9935;55;12111;0.793;12754;2011-08-31;10378;69;12754;0.091;366;7;8.71429
1074532;1;12111;2011-08-29;9935;55;12111;0.793;14781;2011-09-29;12208;69;14781;0.065;366;6;12.20000
1074532;1;14175;2011-09-26;11799;55;14175;0.487;12754;2011-08-31;10378;69;12754;0.091;366;6;5.35165
1074532;1;14175;2011-09-26;11799;55;14175;0.487;14781;2011-09-29;12208;69;14781;0.065;366;7;7.49231
1074533;1;12109;2011-08-29;9933;55;12109;0.753;12768;2011-08-31;10392;69;12768;0.093;366;7;8.09677
1074533;1;12109;2011-08-29;9933;55;12109;0.753;14749;2011-09-29;12176;69;14749;0.056;366;6;13.44643
1074533;1;14174;2011-09-26;11798;55;14174;0.462;12768;2011-08-31;10392;69;12768;0.093;366;6;4.96774
1074533;1;14174;2011-09-26;11798;55;14174;0.462;14749;2011-09-29;12176;69;14749;0.056;366;7;8.25000
1074534;1;12110;2011-08-29;9934;55;12110;0.412;12759;2011-08-31;10383;69;12759;0.055;366;7;7.49091
1074534;1;12110;2011-08-29;9934;55;12110;0.412;14754;2011-09-29;12181;69;14754;0.067;366;6;6.14925
1074534;1;14173;2011-09-26;11797;55;14173;0.523;12759;2011-08-31;10383;69;12759;0.055;366;6;9.50909
1074534;1;14173;2011-09-26;11797;55;14173;0.523;14754;2011-09-29;12181;69;14754;0.067;366;7;7.80597
1074535;1;12112;2011-08-29;9936;55;12112;0.636;12781;2011-08-31;10405;69;12781;0.085;366;7;7.48235
1074535;1;12112;2011-08-29;9936;55;12112;0.636;14776;2011-09-29;12203;69;14776;0.071;366;6;8.95775
1074535;1;14176;2011-09-26;11800;55;14176;0.515;12781;2011-08-31;10405;69;12781;0.085;366;6;6.05882
1074535;1;14176;2011-09-26;11800;55;14176;0.515;14776;2011-09-29;12203;69;14776;0.071;366;7;7.25352
1074536;1;12148;2011-08-29;9972;55;12148;0.457;12691;2011-08-31;10315;69;12691;0.067;366;7;6.82090
1074536;1;12148;2011-08-29;9972;55;12148;0.457;14785;2011-09-29;12212;69;14785;0.059;366;6;7.74576
1074536;1;14209;2011-09-26;11833;55;14209;0.404;12691;2011-08-31;10315;69;12691;0.067;366;6;6.02985
1074536;1;14209;2011-09-26;11833;55;14209;0.404;14785;2011-09-29;12212;69;14785;0.059;366;7;6.84746
1074537;1;12145;2011-08-29;9969;55;12145;0.59;12690;2011-08-31;10314;69;12690;0.078;366;7;7.56410
1074537;1;12145;2011-08-29;9969;55;12145;0.59;14811;2011-09-29;12238;69;14811;0.061;366;6;9.67213
1074537;1;14211;2011-09-26;11835;55;14211;0.401;12690;2011-08-31;10314;69;12690;0.078;366;6;5.14103
1074537;1;14211;2011-09-26;11835;55;14211;0.401;14811;2011-09-29;12238;69;14811;0.061;366;7;6.57377
1074538;1;12147;2011-08-29;9971;55;12147;0.451;12713;2011-08-31;10337;69;12713;0.061;366;7;7.39344
1074538;1;12147;2011-08-29;9971;55;12147;0.451;14818;2011-09-29;12245;69;14818;0.068;366;6;6.63235
1074538;1;14210;2011-09-26;11834;55;14210;0.495;12713;2011-08-31;10337;69;12713;0.061;366;6;8.11475
1074538;1;14210;2011-09-26;11834;55;14210;0.495;14818;2011-09-29;12245;69;14818;0.068;366;7;7.27941
1074539;1;12146;2011-08-29;9970;55;12146;1.034;12706;2011-08-31;10330;69;12706;0.136;366;7;7.60294
1074539;1;12146;2011-08-29;9970;55;12146;1.034;14804;2011-09-29;12231;69;14804;0.092;366;6;11.23913
1074539;1;14212;2011-09-26;11836;55;14212;0.725;12706;2011-08-31;10330;69;12706;0.136;366;6;5.33088
1074539;1;14212;2011-09-26;11836;55;14212;0.725;14804;2011-09-29;12231;69;14804;0.092;366;7;7.88043
1074540;1;12172;2011-08-29;9996;55;12172;0.503;12747;2011-08-31;10371;69;12747;0.077;366;7;6.53247
1074540;1;12172;2011-08-29;9996;55;12172;0.503;14828;2011-09-29;12255;69;14828;0.069;366;6;7.28986
1074540;1;14234;2011-09-26;11858;55;14234;0.565;12747;2011-08-31;10371;69;12747;0.077;366;6;7.33766
1074540;1;14234;2011-09-26;11858;55;14234;0.565;14828;2011-09-29;12255;69;14828;0.069;366;7;8.18841
1074541;1;12169;2011-08-29;9993;55;12169;0.583;12726;2011-08-31;10350;69;12726;0.085;366;7;6.85882
1074541;1;12169;2011-08-29;9993;55;12169;0.583;14829;2011-09-29;12256;69;14829;0.066;366;6;8.83333
1074541;1;14233;2011-09-26;11857;55;14233;0.470;12726;2011-08-31;10350;69;12726;0.085;366;6;5.52941
1074541;1;14233;2011-09-26;11857;55;14233;0.470;14829;2011-09-29;12256;69;14829;0.066;366;7;7.12121
1074542;1;12170;2011-08-29;9994;55;12170;0.499;12732;2011-08-31;10356;69;12732;0.057;366;7;8.75439
1074542;1;12170;2011-08-29;9994;55;12170;0.499;14837;2011-09-29;12264;69;14837;0.100;366;6;4.99000
1074542;1;14236;2011-09-26;11860;55;14236;0.784;12732;2011-08-31;10356;69;12732;0.057;366;6;13.75439
1074542;1;14236;2011-09-26;11860;55;14236;0.784;14837;2011-09-29;12264;69;14837;0.100;366;7;7.84000
1074543;1;12171;2011-08-29;9995;55;12171;0.617;12746;2011-08-31;10370;69;12746;0.091;366;7;6.78022
1074543;1;12171;2011-08-29;9995;55;12171;0.617;14838;2011-09-29;12265;69;14838;0.118;366;6;5.22881
1074543;1;14235;2011-09-26;11859;55;14235;0.972;12746;2011-08-31;10370;69;12746;0.091;366;6;10.68132
1074543;1;14235;2011-09-26;11859;55;14235;0.972;14838;2011-09-29;12265;69;14838;0.118;366;7;8.23729
1074544;1;13341;2011-09-01;10965;55;13341;0.576;13606;2011-09-05;11230;69;13606;0.079;366;7;7.29114
1074544;1;13341;2011-09-01;10965;55;13341;0.576;15048;2011-10-04;12475;69;15048;0.099;366;6;5.81818
1074544;1;14857;2011-09-29;12284;55;14857;0.830;13606;2011-09-05;11230;69;13606;0.079;366;6;10.50633
1074544;1;14857;2011-09-29;12284;55;14857;0.830;15048;2011-10-04;12475;69;15048;0.099;366;7;8.38384
1074545;1;13343;2011-09-01;10967;55;13343;0.735;13590;2011-09-05;11214;69;13590;0.096;366;7;7.65625
1074545;1;13343;2011-09-01;10967;55;13343;0.735;15049;2011-10-04;12476;69;15049;0.063;366;6;11.66667
1074545;1;14858;2011-09-29;12285;55;14858;0.440;13590;2011-09-05;11214;69;13590;0.096;366;6;4.58333
1074545;1;14858;2011-09-29;12285;55;14858;0.440;15049;2011-10-04;12476;69;15049;0.063;366;7;6.98413
1074546;1;13342;2011-09-01;10966;55;13342;0.477;13600;2011-09-05;11224;69;13600;0.058;366;7;8.22414
1074546;1;13342;2011-09-01;10966;55;13342;0.477;15050;2011-10-04;12477;69;15050;0.074;366;6;6.44595
1074546;1;14859;2011-09-29;12286;55;14859;0.630;13600;2011-09-05;11224;69;13600;0.058;366;6;10.86207
1074546;1;14859;2011-09-29;12286;55;14859;0.630;15050;2011-10-04;12477;69;15050;0.074;366;7;8.51351
1074547;1;13344;2011-09-01;10968;55;13344;0.609;13584;2011-09-05;11208;69;13584;0.081;366;7;7.51852
1074547;1;13344;2011-09-01;10968;55;13344;0.609;15051;2011-10-04;12478;69;15051;0.079;366;6;7.70886
1074547;1;14860;2011-09-29;12287;55;14860;0.701;13584;2011-09-05;11208;69;13584;0.081;366;6;8.65432
1074547;1;14860;2011-09-29;12287;55;14860;0.701;15051;2011-10-04;12478;69;15051;0.079;366;7;8.87342
1074548;1;13386;2011-09-01;11010;55;13386;1.301;13566;2011-09-05;11190;69;13566;0.151;366;7;8.61589
1074548;1;13386;2011-09-01;11010;55;13386;1.301;15052;2011-10-04;12479;69;15052;0.089;366;6;14.61798
1074548;1;14902;2011-09-29;12329;55;14902;0.728;13566;2011-09-05;11190;69;13566;0.151;366;6;4.82119
1074548;1;14902;2011-09-29;12329;55;14902;0.728;15052;2011-10-04;12479;69;15052;0.089;366;7;8.17978
1074549;1;13385;2011-09-01;11009;55;13385;1.098;13574;2011-09-05;11198;69;13574;0.131;366;7;8.38168
1074549;1;13385;2011-09-01;11009;55;13385;1.098;15053;2011-10-04;12480;69;15053;0.089;366;6;12.33708
1074549;1;14901;2011-09-29;12328;55;14901;0.663;13574;2011-09-05;11198;69;13574;0.131;366;6;5.06107
1074549;1;14901;2011-09-29;12328;55;14901;0.663;15053;2011-10-04;12480;69;15053;0.089;366;7;7.44944
1074550;1;13388;2011-09-01;11012;55;13388;0.847;13567;2011-09-05;11191;69;13567;0.108;366;7;7.84259
1074550;1;13388;2011-09-01;11012;55;13388;0.847;15054;2011-10-04;12481;69;15054;0.104;366;6;8.14423
1074550;1;14904;2011-09-29;12331;55;14904;0.838;13567;2011-09-05;11191;69;13567;0.108;366;6;7.75926
1074550;1;14904;2011-09-29;12331;55;14904;0.838;15054;2011-10-04;12481;69;15054;0.104;366;7;8.05769
1074551;1;13387;2011-09-01;11011;55;13387;0.698;13554;2011-09-05;11178;69;13554;0.087;366;7;8.02299
1074551;1;13387;2011-09-01;11011;55;13387;0.698;15055;2011-10-04;12482;69;15055;0.09;366;6;7.75556
1074551;1;14903;2011-09-29;12330;55;14903;0.626;13554;2011-09-05;11178;69;13554;0.087;366;6;7.19540
1074551;1;14903;2011-09-29;12330;55;14903;0.626;15055;2011-10-04;12482;69;15055;0.09;366;7;6.95556
1074552;1;13402;2011-09-01;11026;55;13402;0.713;13529;2011-09-05;11153;69;13529;0.079;366;7;9.02532
1074552;1;13402;2011-09-01;11026;55;13402;0.713;15056;2011-10-04;12483;69;15056;0.079;366;6;9.02532
1074552;1;14922;2011-09-29;12349;55;14922;0.579;13529;2011-09-05;11153;69;13529;0.079;366;6;7.32911
1074552;1;14922;2011-09-29;12349;55;14922;0.579;15056;2011-10-04;12483;69;15056;0.079;366;7;7.32911
1074553;1;13401;2011-09-01;11025;55;13401;0.971;13532;2011-09-05;11156;69;13532;0.110;366;7;8.82727
1074553;1;13401;2011-09-01;11025;55;13401;0.971;15057;2011-10-04;12484;69;15057;0.095;366;6;10.22105
1074553;1;14921;2011-09-29;12348;55;14921;0.765;13532;2011-09-05;11156;69;13532;0.110;366;6;6.95455
1074553;1;14921;2011-09-29;12348;55;14921;0.765;15057;2011-10-04;12484;69;15057;0.095;366;7;8.05263
1074554;1;13403;2011-09-01;11027;55;13403;0.974;13536;2011-09-05;11160;69;13536;0.108;366;7;9.01852
1074554;1;13403;2011-09-01;11027;55;13403;0.974;15058;2011-10-04;12485;69;15058;0.119;366;6;8.18487
1074554;1;14923;2011-09-29;12350;55;14923;0.990;13536;2011-09-05;11160;69;13536;0.108;366;6;9.16667
1074554;1;14923;2011-09-29;12350;55;14923;0.990;15058;2011-10-04;12485;69;15058;0.119;366;7;8.31933
1074555;1;13404;2011-09-01;11028;55;13404;0.826;13538;2011-09-05;11162;69;13538;0.093;366;7;8.88172
1074555;1;13404;2011-09-01;11028;55;13404;0.826;15059;2011-10-04;12486;69;15059;0.14;366;6;5.90000
1074555;1;14924;2011-09-29;12351;55;14924;1.160;13538;2011-09-05;11162;69;13538;0.093;366;6;12.47312
1074555;1;14924;2011-09-29;12351;55;14924;1.160;15059;2011-10-04;12486;69;15059;0.14;366;7;8.28571
1074556;1;13354;2011-09-01;10978;55;13354;0.582;13596;2011-09-05;11220;69;13596;0.078;366;7;7.46154
1074556;1;13354;2011-09-01;10978;55;13354;0.582;15060;2011-10-04;12487;69;15060;0.108;366;6;5.38889
1074556;1;14871;2011-09-29;12298;55;14871;0.826;13596;2011-09-05;11220;69;13596;0.078;366;6;10.58974
1074556;1;14871;2011-09-29;12298;55;14871;0.826;15060;2011-10-04;12487;69;15060;0.108;366;7;7.64815
1074557;1;13355;2011-09-01;10979;55;13355;0.682;13587;2011-09-05;11211;69;13587;0.093;366;7;7.33333
1074557;1;13355;2011-09-01;10979;55;13355;0.682;15061;2011-10-04;12488;69;15061;0.083;366;6;8.21687
1074557;1;14869;2011-09-29;12296;55;14869;0.652;13587;2011-09-05;11211;69;13587;0.093;366;6;7.01075
1074557;1;14869;2011-09-29;12296;55;14869;0.652;15061;2011-10-04;12488;69;15061;0.083;366;7;7.85542
1074558;1;13356;2011-09-01;10980;55;13356;1.022;13593;2011-09-05;11217;69;13593;0.131;366;7;7.80153
1074558;1;13356;2011-09-01;10980;55;13356;1.022;15062;2011-10-04;12489;69;15062;0.082;366;6;12.46341
1074558;1;14872;2011-09-29;12299;55;14872;0.570;13593;2011-09-05;11217;69;13593;0.131;366;6;4.35115
1074558;1;14872;2011-09-29;12299;55;14872;0.570;15062;2011-10-04;12489;69;15062;0.082;366;7;6.95122
1074559;1;13353;2011-09-01;10977;55;13353;0.827;13591;2011-09-05;11215;69;13591;0.110;366;7;7.51818
1074559;1;13353;2011-09-01;10977;55;13353;0.827;15063;2011-10-04;12490;69;15063;0.066;366;6;12.53030
1074559;1;14870;2011-09-29;12297;55;14870;0.499;13591;2011-09-05;11215;69;13591;0.110;366;6;4.53636
1074559;1;14870;2011-09-29;12297;55;14870;0.499;15063;2011-10-04;12490;69;15063;0.066;366;7;7.56061
1074560;1;13376;2011-09-01;11000;55;13376;0.551;13559;2011-09-05;11183;69;13559;0.071;366;7;7.76056
1074560;1;13376;2011-09-01;11000;55;13376;0.551;15064;2011-10-04;12491;69;15064;0.079;366;6;6.97468
1074560;1;14892;2011-09-29;12319;55;14892;0.533;13559;2011-09-05;11183;69;13559;0.071;366;6;7.50704
1074560;1;14892;2011-09-29;12319;55;14892;0.533;15064;2011-10-04;12491;69;15064;0.079;366;7;6.74684
1074562;1;13375;2011-09-01;10999;55;13375;0.397;13556;2011-09-05;11180;69;13556;0.061;366;7;6.50820
1074562;1;13375;2011-09-01;10999;55;13375;0.397;15065;2011-10-04;12492;69;15065;0.071;366;6;5.59155
1074562;1;14890;2011-09-29;12317;55;14890;0.515;13556;2011-09-05;11180;69;13556;0.061;366;6;8.44262
1074562;1;14890;2011-09-29;12317;55;14890;0.515;15065;2011-10-04;12492;69;15065;0.071;366;7;7.25352
1074563;1;13374;2011-09-01;10998;55;13374;0.914;13561;2011-09-05;11185;69;13561;0.121;366;7;7.55372
1074563;1;13374;2011-09-01;10998;55;13374;0.914;15066;2011-10-04;12493;69;15066;0.088;366;6;10.38636
1074563;1;14889;2011-09-29;12316;55;14889;0.638;13561;2011-09-05;11185;69;13561;0.121;366;6;5.27273
1074563;1;14889;2011-09-29;12316;55;14889;0.638;15066;2011-10-04;12493;69;15066;0.088;366;7;7.25000
1074564;1;13373;2011-09-01;10997;55;13373;0.977;13560;2011-09-05;11184;69;13560;0.121;366;7;8.07438
1074564;1;13373;2011-09-01;10997;55;13373;0.977;15067;2011-10-04;12494;69;15067;0.072;366;6;13.56944
1074564;1;14891;2011-09-29;12318;55;14891;0.553;13560;2011-09-05;11184;69;13560;0.121;366;6;4.57025
1074564;1;14891;2011-09-29;12318;55;14891;0.553;15067;2011-10-04;12494;69;15067;0.072;366;7;7.68056
1074565;1;13424;2011-09-01;11048;55;13424;0.499;13543;2011-09-05;11167;69;13543;0.072;366;7;6.93056
1074565;1;13424;2011-09-01;11048;55;13424;0.499;15068;2011-10-04;12495;69;15068;0.071;366;6;7.02817
1074565;1;14940;2011-09-29;12367;55;14940;0.517;13543;2011-09-05;11167;69;13543;0.072;366;6;7.18056
1074565;1;14940;2011-09-29;12367;55;14940;0.517;15068;2011-10-04;12495;69;15068;0.071;366;7;7.28169
1074566;1;13422;2011-09-01;11046;55;13422;0.41;13540;2011-09-05;11164;69;13540;0.063;366;7;6.50794
1074566;1;13422;2011-09-01;11046;55;13422;0.41;15069;2011-10-04;12496;69;15069;0.063;366;6;6.50794
1074566;1;14937;2011-09-29;12364;55;14937;0.433;13540;2011-09-05;11164;69;13540;0.063;366;6;6.87302
1074566;1;14937;2011-09-29;12364;55;14937;0.433;15069;2011-10-04;12496;69;15069;0.063;366;7;6.87302
1074567;1;13423;2011-09-01;11047;55;13423;0.748;13527;2011-09-05;11151;69;13527;0.103;366;7;7.26214
