sample_id;p1_id;p1_date;pv1_id;pv1_value_id;pv1_phenotype_id;pv1_number;pe1_entity_id;p2_id;p2_date;pv2_id;pv2_value_id;pv2_phenotype_id;pv2_number;pe2_entity_id
44504;208817;2011-08-31;180911;69;208817;0.091;366;210539;2011-09-27;182633;156;210539;0.923;366
44504;210327;2011-09-26;182421;55;210327;0.592;366;208817;2011-08-31;180911;69;208817;0.091;366
44504;210327;2011-09-26;182421;55;210327;0.592;366;210539;2011-09-27;182633;156;210539;0.923;366
44504;210327;2011-09-26;182421;55;210327;0.592;366;211031;2011-09-29;182928;69;211031;0.090;366
44504;211031;2011-09-29;182928;69;211031;0.090;366;210539;2011-09-27;182633;156;210539;0.923;366
44505;209400;2011-09-01;181494;55;209400;0.248;366;209665;2011-09-02;181759;156;209665;0.376;366
44505;209400;2011-09-01;181494;55;209400;0.248;366;209753;2011-09-05;181847;69;209753;0.037;366
44505;209400;2011-09-01;181494;55;209400;0.248;366;211299;2011-09-30;183196;156;211299;0.574;366
44505;209400;2011-09-01;181494;55;209400;0.248;366;211447;2011-10-04;183344;69;211447;0.052;366
44505;209753;2011-09-05;181847;69;209753;0.037;366;209665;2011-09-02;181759;156;209665;0.376;366
44505;209753;2011-09-05;181847;69;209753;0.037;366;211299;2011-09-30;183196;156;211299;0.574;366
44505;211107;2011-09-29;183004;55;211107;0.404;366;209665;2011-09-02;181759;156;209665;0.376;366
44505;211107;2011-09-29;183004;55;211107;0.404;366;209753;2011-09-05;181847;69;209753;0.037;366
44505;211107;2011-09-29;183004;55;211107;0.404;366;211299;2011-09-30;183196;156;211299;0.574;366
44505;211107;2011-09-29;183004;55;211107;0.404;366;211447;2011-10-04;183344;69;211447;0.052;366
44505;211447;2011-10-04;183344;69;211447;0.052;366;209665;2011-09-02;181759;156;209665;0.376;366
44505;211447;2011-10-04;183344;69;211447;0.052;366;211299;2011-09-30;183196;156;211299;0.574;366
44506;209399;2011-09-01;181493;55;209399;0.405;366;209660;2011-09-02;181754;156;209660;0.561;366
44506;209399;2011-09-01;181493;55;209399;0.405;366;209757;2011-09-05;181851;69;209757;0.055;366
44506;209399;2011-09-01;181493;55;209399;0.405;366;211314;2011-09-30;183211;156;211314;0.688;366
44506;209399;2011-09-01;181493;55;209399;0.405;366;211448;2011-10-04;183345;69;211448;0.062;366
44506;209757;2011-09-05;181851;69;209757;0.055;366;209660;2011-09-02;181754;156;209660;0.561;366
44506;209757;2011-09-05;181851;69;209757;0.055;366;211314;2011-09-30;183211;156;211314;0.688;366
44506;211110;2011-09-29;183007;55;211110;0.510;366;209660;2011-09-02;181754;156;209660;0.561;366
44506;211110;2011-09-29;183007;55;211110;0.510;366;209757;2011-09-05;181851;69;209757;0.055;366
44506;211110;2011-09-29;183007;55;211110;0.510;366;211314;2011-09-30;183211;156;211314;0.688;366
44506;211110;2011-09-29;183007;55;211110;0.510;366;211448;2011-10-04;183345;69;211448;0.062;366
44506;211448;2011-10-04;183345;69;211448;0.062;366;209660;2011-09-02;181754;156;209660;0.561;366
44506;211448;2011-10-04;183345;69;211448;0.062;366;211314;2011-09-30;183211;156;211314;0.688;366
44507;209401;2011-09-01;181495;55;209401;0.313;366;209655;2011-09-02;181749;156;209655;0.467;366
44507;209401;2011-09-01;181495;55;209401;0.313;366;209766;2011-09-05;181860;69;209766;0.042;366
44507;209401;2011-09-01;181495;55;209401;0.313;366;211304;2011-09-30;183201;156;211304;0.492;366
44507;209401;2011-09-01;181495;55;209401;0.313;366;211449;2011-10-04;183346;69;211449;0.046;366
44507;209766;2011-09-05;181860;69;209766;0.042;366;209655;2011-09-02;181749;156;209655;0.467;366
44507;209766;2011-09-05;181860;69;209766;0.042;366;211304;2011-09-30;183201;156;211304;0.492;366
44507;211108;2011-09-29;183005;55;211108;0.376;366;209655;2011-09-02;181749;156;209655;0.467;366
44507;211108;2011-09-29;183005;55;211108;0.376;366;209766;2011-09-05;181860;69;209766;0.042;366
44507;211108;2011-09-29;183005;55;211108;0.376;366;211304;2011-09-30;183201;156;211304;0.492;366
44507;211108;2011-09-29;183005;55;211108;0.376;366;211449;2011-10-04;183346;69;211449;0.046;366
44507;211449;2011-10-04;183346;69;211449;0.046;366;209655;2011-09-02;181749;156;209655;0.467;366
44507;211449;2011-10-04;183346;69;211449;0.046;366;211304;2011-09-30;183201;156;211304;0.492;366
44508;209396;2011-09-01;181490;55;209396;0.433;366;209654;2011-09-02;181748;156;209654;0.628;366
44508;209396;2011-09-01;181490;55;209396;0.433;366;209765;2011-09-05;181859;69;209765;0.061;366
44508;209396;2011-09-01;181490;55;209396;0.433;366;211300;2011-09-30;183197;156;211300;0.381;366
44508;209396;2011-09-01;181490;55;209396;0.433;366;211423;2011-10-04;183320;69;211423;0.042;366
44508;209765;2011-09-05;181859;69;209765;0.061;366;209654;2011-09-02;181748;156;209654;0.628;366
44508;209765;2011-09-05;181859;69;209765;0.061;366;211300;2011-09-30;183197;156;211300;0.381;366
44508;211106;2011-09-29;183003;55;211106;0.299;366;209654;2011-09-02;181748;156;209654;0.628;366
44508;211106;2011-09-29;183003;55;211106;0.299;366;209765;2011-09-05;181859;69;209765;0.061;366
44508;211106;2011-09-29;183003;55;211106;0.299;366;211300;2011-09-30;183197;156;211300;0.381;366
44508;211106;2011-09-29;183003;55;211106;0.299;366;211423;2011-10-04;183320;69;211423;0.042;366
44508;211423;2011-10-04;183320;69;211423;0.042;366;209654;2011-09-02;181748;156;209654;0.628;366
44508;211423;2011-10-04;183320;69;211423;0.042;366;211300;2011-09-30;183197;156;211300;0.381;366
44509;209393;2011-09-01;181487;55;209393;0.77;366;209648;2011-09-02;181742;156;209648;1.176;366
44509;209393;2011-09-01;181487;55;209393;0.77;366;209773;2011-09-05;181867;69;209773;0.102;366
44509;209393;2011-09-01;181487;55;209393;0.77;366;211309;2011-09-30;183206;156;211309;1.031;366
44509;209393;2011-09-01;181487;55;209393;0.77;366;211473;2011-10-04;183370;69;211473;0.097;366
44509;209773;2011-09-05;181867;69;209773;0.102;366;209648;2011-09-02;181742;156;209648;1.176;366
44509;209773;2011-09-05;181867;69;209773;0.102;366;211309;2011-09-30;183206;156;211309;1.031;366
44509;211100;2011-09-29;182997;55;211100;0.778;366;209648;2011-09-02;181742;156;209648;1.176;366
44509;211100;2011-09-29;182997;55;211100;0.778;366;209773;2011-09-05;181867;69;209773;0.102;366
44509;211100;2011-09-29;182997;55;211100;0.778;366;211309;2011-09-30;183206;156;211309;1.031;366
44509;211100;2011-09-29;182997;55;211100;0.778;366;211473;2011-10-04;183370;69;211473;0.097;366
44509;211473;2011-10-04;183370;69;211473;0.097;366;209648;2011-09-02;181742;156;209648;1.176;366
44509;211473;2011-10-04;183370;69;211473;0.097;366;211309;2011-09-30;183206;156;211309;1.031;366
44510;208066;2011-08-29;180360;55;208066;0.433;366;208819;2011-08-31;180913;69;208819;0.061;366
44510;208066;2011-08-29;180360;55;208066;0.433;366;210540;2011-09-27;182634;156;210540;0.444;366
44510;208066;2011-08-29;180360;55;208066;0.433;366;211032;2011-09-29;182929;69;211032;0.046;366
44510;208819;2011-08-31;180913;69;208819;0.061;366;210540;2011-09-27;182634;156;210540;0.444;366
44510;210320;2011-09-26;182414;55;210320;0.326;366;208819;2011-08-31;180913;69;208819;0.061;366
44510;210320;2011-09-26;182414;55;210320;0.326;366;210540;2011-09-27;182634;156;210540;0.444;366
44510;210320;2011-09-26;182414;55;210320;0.326;366;211032;2011-09-29;182929;69;211032;0.046;366
44510;211032;2011-09-29;182929;69;211032;0.046;366;210540;2011-09-27;182634;156;210540;0.444;366
44511;208078;2011-08-29;180372;55;208078;0.636;366;208843;2011-08-31;180937;69;208843;0.085;366
44511;208078;2011-08-29;180372;55;208078;0.636;366;210538;2011-09-27;182632;156;210538;0.822;366
44511;208078;2011-08-29;180372;55;208078;0.636;366;211030;2011-09-29;182927;69;211030;0.071;366
44511;208843;2011-08-31;180937;69;208843;0.085;366;210538;2011-09-27;182632;156;210538;0.822;366
44511;210334;2011-09-26;182428;55;210334;0.515;366;208843;2011-08-31;180937;69;208843;0.085;366
44511;210334;2011-09-26;182428;55;210334;0.515;366;210538;2011-09-27;182632;156;210538;0.822;366
44511;210334;2011-09-26;182428;55;210334;0.515;366;211030;2011-09-29;182927;69;211030;0.071;366
44511;211030;2011-09-29;182927;69;211030;0.071;366;210538;2011-09-27;182632;156;210538;0.822;366
44512;209405;2011-09-01;181499;55;209405;0.735;366;209669;2011-09-02;181763;156;209669;1.064;366
44512;209405;2011-09-01;181499;55;209405;0.735;366;209748;2011-09-05;181842;69;209748;0.096;366
44512;209405;2011-09-01;181499;55;209405;0.735;366;211324;2011-09-30;183221;156;211324;0.617;366
44512;209405;2011-09-01;181499;55;209405;0.735;366;211399;2011-10-04;183296;69;211399;0.063;366
44512;209748;2011-09-05;181842;69;209748;0.096;366;209669;2011-09-02;181763;156;209669;1.064;366
44512;209748;2011-09-05;181842;69;209748;0.096;366;211324;2011-09-30;183221;156;211324;0.617;366
44512;211112;2011-09-29;183009;55;211112;0.440;366;209669;2011-09-02;181763;156;209669;1.064;366
44512;211112;2011-09-29;183009;55;211112;0.440;366;209748;2011-09-05;181842;69;209748;0.096;366
44512;211112;2011-09-29;183009;55;211112;0.440;366;211324;2011-09-30;183221;156;211324;0.617;366
44512;211112;2011-09-29;183009;55;211112;0.440;366;211399;2011-10-04;183296;69;211399;0.063;366
44512;211399;2011-10-04;183296;69;211399;0.063;366;209669;2011-09-02;181763;156;209669;1.064;366
44512;211399;2011-10-04;183296;69;211399;0.063;366;211324;2011-09-30;183221;156;211324;0.617;366
44513;209394;2011-09-01;181488;55;209394;0.398;366;209657;2011-09-02;181751;156;209657;0.649;366
44513;209394;2011-09-01;181488;55;209394;0.398;366;209762;2011-09-05;181856;69;209762;0.059;366
44513;209394;2011-09-01;181488;55;209394;0.398;366;211320;2011-09-30;183217;156;211320;1.759;366
44513;209394;2011-09-01;181488;55;209394;0.398;366;211470;2011-10-04;183367;69;211470;0.169;366
44513;209762;2011-09-05;181856;69;209762;0.059;366;209657;2011-09-02;181751;156;209657;0.649;366
44513;209762;2011-09-05;181856;69;209762;0.059;366;211320;2011-09-30;183217;156;211320;1.759;366
44513;211102;2011-09-29;182999;55;211102;1.451;366;209657;2011-09-02;181751;156;209657;0.649;366
44513;211102;2011-09-29;182999;55;211102;1.451;366;209762;2011-09-05;181856;69;209762;0.059;366
44513;211102;2011-09-29;182999;55;211102;1.451;366;211320;2011-09-30;183217;156;211320;1.759;366
44513;211102;2011-09-29;182999;55;211102;1.451;366;211470;2011-10-04;183367;69;211470;0.169;366
44513;211470;2011-10-04;183367;69;211470;0.169;366;209657;2011-09-02;181751;156;209657;0.649;366
44513;211470;2011-10-04;183367;69;211470;0.169;366;211320;2011-09-30;183217;156;211320;1.759;366
44514;209403;2011-09-01;181497;55;209403;0.576;366;209653;2011-09-02;181747;156;209653;0.806;366
44514;209403;2011-09-01;181497;55;209403;0.576;366;209764;2011-09-05;181858;69;209764;0.079;366
44514;209403;2011-09-01;181497;55;209403;0.576;366;211319;2011-09-30;183216;156;211319;1.009;366
44514;209403;2011-09-01;181497;55;209403;0.576;366;211398;2011-10-04;183295;69;211398;0.099;366
44514;209764;2011-09-05;181858;69;209764;0.079;366;209653;2011-09-02;181747;156;209653;0.806;366
44514;209764;2011-09-05;181858;69;209764;0.079;366;211319;2011-09-30;183216;156;211319;1.009;366
44514;211111;2011-09-29;183008;55;211111;0.830;366;209653;2011-09-02;181747;156;209653;0.806;366
44514;211111;2011-09-29;183008;55;211111;0.830;366;209764;2011-09-05;181858;69;209764;0.079;366
44514;211111;2011-09-29;183008;55;211111;0.830;366;211319;2011-09-30;183216;156;211319;1.009;366
44514;211111;2011-09-29;183008;55;211111;0.830;366;211398;2011-10-04;183295;69;211398;0.099;366
44514;211398;2011-10-04;183295;69;211398;0.099;366;209653;2011-09-02;181747;156;209653;0.806;366
44514;211398;2011-10-04;183295;69;211398;0.099;366;211319;2011-09-30;183216;156;211319;1.009;366
44515;208077;2011-08-29;180371;55;208077;0.793;366;208816;2011-08-31;180910;69;208816;0.091;366
44515;208077;2011-08-29;180371;55;208077;0.793;366;210543;2011-09-27;182637;156;210543;0.736;366
44515;208077;2011-08-29;180371;55;208077;0.793;366;211035;2011-09-29;182932;69;211035;0.065;366
44515;208816;2011-08-31;180910;69;208816;0.091;366;210543;2011-09-27;182637;156;210543;0.736;366
44515;210333;2011-09-26;182427;55;210333;0.487;366;208816;2011-08-31;180910;69;208816;0.091;366
44515;210333;2011-09-26;182427;55;210333;0.487;366;210543;2011-09-27;182637;156;210543;0.736;366
44515;210333;2011-09-26;182427;55;210333;0.487;366;211035;2011-09-29;182932;69;211035;0.065;366
44515;211035;2011-09-29;182932;69;211035;0.065;366;210543;2011-09-27;182637;156;210543;0.736;366
44516;208073;2011-08-29;180367;55;208073;0.797;366;208844;2011-08-31;180938;69;208844;0.113;366
44516;208073;2011-08-29;180367;55;208073;0.797;366;210534;2011-09-27;182628;156;210534;0.861;366
44516;208073;2011-08-29;180367;55;208073;0.797;366;211021;2011-09-29;182918;69;211021;0.083;366
44516;208844;2011-08-31;180938;69;208844;0.113;366;210534;2011-09-27;182628;156;210534;0.861;366
44516;210328;2011-09-26;182422;55;210328;0.544;366;208844;2011-08-31;180938;69;208844;0.113;366
44516;210328;2011-09-26;182422;55;210328;0.544;366;210534;2011-09-27;182628;156;210534;0.861;366
44516;210328;2011-09-26;182422;55;210328;0.544;366;211021;2011-09-29;182918;69;211021;0.083;366
44516;211021;2011-09-29;182918;69;211021;0.083;366;210534;2011-09-27;182628;156;210534;0.861;366
44517;208085;2011-08-29;180379;55;208085;0.395;366;208828;2011-08-31;180922;69;208828;0.054;366
44517;208085;2011-08-29;180379;55;208085;0.395;366;210542;2011-09-27;182636;156;210542;0.598;366
44517;208085;2011-08-29;180379;55;208085;0.395;366;211034;2011-09-29;182931;69;211034;0.064;366
44517;208828;2011-08-31;180922;69;208828;0.054;366;210542;2011-09-27;182636;156;210542;0.598;366
44517;210340;2011-09-26;182434;55;210340;0.454;366;208828;2011-08-31;180922;69;208828;0.054;366
44517;210340;2011-09-26;182434;55;210340;0.454;366;210542;2011-09-27;182636;156;210542;0.598;366
44517;210340;2011-09-26;182434;55;210340;0.454;366;211034;2011-09-29;182931;69;211034;0.064;366
44517;211034;2011-09-29;182931;69;211034;0.064;366;210542;2011-09-27;182636;156;210542;0.598;366
44518;208079;2011-08-29;180373;55;208079;0.474;366;208836;2011-08-31;180930;69;208836;0.063;366
44518;208079;2011-08-29;180373;55;208079;0.474;366;210531;2011-09-27;182625;156;210531;0.594;366
44518;208079;2011-08-29;180373;55;208079;0.474;366;211027;2011-09-29;182924;69;211027;0.065;366
44518;208836;2011-08-31;180930;69;208836;0.063;366;210531;2011-09-27;182625;156;210531;0.594;366
44518;210335;2011-09-26;182429;55;210335;0.467;366;208836;2011-08-31;180930;69;208836;0.063;366
44518;210335;2011-09-26;182429;55;210335;0.467;366;210531;2011-09-27;182625;156;210531;0.594;366
44518;210335;2011-09-26;182429;55;210335;0.467;366;211027;2011-09-29;182924;69;211027;0.065;366
44518;211027;2011-09-29;182924;69;211027;0.065;366;210531;2011-09-27;182625;156;210531;0.594;366
44519;208089;2011-08-29;180383;55;208089;0.733;366;208838;2011-08-31;180932;69;208838;0.091;366
44519;208089;2011-08-29;180383;55;208089;0.733;366;210520;2011-09-27;182614;156;210520;0.475;366
44519;208089;2011-08-29;180383;55;208089;0.733;366;211013;2011-09-29;182910;69;211013;0.054;366
44519;208838;2011-08-31;180932;69;208838;0.091;366;210520;2011-09-27;182614;156;210520;0.475;366
44519;210346;2011-09-26;182440;55;210346;0.349;366;208838;2011-08-31;180932;69;208838;0.091;366
44519;210346;2011-09-26;182440;55;210346;0.349;366;210520;2011-09-27;182614;156;210520;0.475;366
44519;210346;2011-09-26;182440;55;210346;0.349;366;211013;2011-09-29;182910;69;211013;0.054;366
44519;211013;2011-09-29;182910;69;211013;0.054;366;210520;2011-09-27;182614;156;210520;0.475;366
44520;209410;2011-09-01;181504;55;209410;0.948;366;209676;2011-09-02;181770;156;209676;1.266;366
44520;209410;2011-09-01;181504;55;209410;0.948;366;209744;2011-09-05;181838;69;209744;0.094;366
44520;209410;2011-09-01;181504;55;209410;0.948;366;211313;2011-09-30;183210;156;211313;1.412;366
44520;209410;2011-09-01;181504;55;209410;0.948;366;211387;2011-10-04;183284;69;211387;0.142;366
44520;209744;2011-09-05;181838;69;209744;0.094;366;209676;2011-09-02;181770;156;209676;1.266;366
44520;209744;2011-09-05;181838;69;209744;0.094;366;211313;2011-09-30;183210;156;211313;1.412;366
44520;211115;2011-09-29;183012;55;211115;1.174;366;209676;2011-09-02;181770;156;209676;1.266;366
44520;211115;2011-09-29;183012;55;211115;1.174;366;209744;2011-09-05;181838;69;209744;0.094;366
44520;211115;2011-09-29;183012;55;211115;1.174;366;211313;2011-09-30;183210;156;211313;1.412;366
44520;211115;2011-09-29;183012;55;211115;1.174;366;211387;2011-10-04;183284;69;211387;0.142;366
44520;211387;2011-10-04;183284;69;211387;0.142;366;209676;2011-09-02;181770;156;209676;1.266;366
44520;211387;2011-10-04;183284;69;211387;0.142;366;211313;2011-09-30;183210;156;211313;1.412;366
44521;208086;2011-08-29;180380;55;208086;0.514;366;208823;2011-08-31;180917;69;208823;0.075;366
44521;208086;2011-08-29;180380;55;208086;0.514;366;210519;2011-09-27;182613;156;210519;0.355;366
44521;208086;2011-08-29;180380;55;208086;0.514;366;211011;2011-09-29;182908;69;211011;0.045;366
44521;208823;2011-08-31;180917;69;208823;0.075;366;210519;2011-09-27;182613;156;210519;0.355;366
44521;210339;2011-09-26;182433;55;210339;0.279;366;208823;2011-08-31;180917;69;208823;0.075;366
44521;210339;2011-09-26;182433;55;210339;0.279;366;210519;2011-09-27;182613;156;210519;0.355;366
44521;210339;2011-09-26;182433;55;210339;0.279;366;211011;2011-09-29;182908;69;211011;0.045;366
44521;211011;2011-09-29;182908;69;211011;0.045;366;210519;2011-09-27;182613;156;210519;0.355;366
44522;209415;2011-09-01;181509;55;209415;0.827;366;209671;2011-09-02;181765;156;209671;1.045;366
44522;209415;2011-09-01;181509;55;209415;0.827;366;209749;2011-09-05;181843;69;209749;0.110;366
44522;209415;2011-09-01;181509;55;209415;0.827;366;211312;2011-09-30;183209;156;211312;0.561;366
44522;209415;2011-09-01;181509;55;209415;0.827;366;211413;2011-10-04;183310;69;211413;0.066;366
44522;209749;2011-09-05;181843;69;209749;0.110;366;209671;2011-09-02;181765;156;209671;1.045;366
44522;209749;2011-09-05;181843;69;209749;0.110;366;211312;2011-09-30;183209;156;211312;0.561;366
44522;211124;2011-09-29;183021;55;211124;0.499;366;209671;2011-09-02;181765;156;209671;1.045;366
44522;211124;2011-09-29;183021;55;211124;0.499;366;209749;2011-09-05;181843;69;209749;0.110;366
44522;211124;2011-09-29;183021;55;211124;0.499;366;211312;2011-09-30;183209;156;211312;0.561;366
44522;211124;2011-09-29;183021;55;211124;0.499;366;211413;2011-10-04;183310;69;211413;0.066;366
44522;211413;2011-10-04;183310;69;211413;0.066;366;209671;2011-09-02;181765;156;209671;1.045;366
44522;211413;2011-10-04;183310;69;211413;0.066;366;211312;2011-09-30;183209;156;211312;0.561;366
44523;209419;2011-09-01;181513;55;209419;0.996;366;209649;2011-09-02;181743;156;209649;1.282;366
44523;209419;2011-09-01;181513;55;209419;0.996;366;209772;2011-09-05;181866;69;209772;0.123;366
44523;209419;2011-09-01;181513;55;209419;0.996;366;211321;2011-09-30;183218;156;211321;0.700;366
44523;209419;2011-09-01;181513;55;209419;0.996;366;211461;2011-10-04;183358;69;211461;0.072;366
44523;209772;2011-09-05;181866;69;209772;0.123;366;209649;2011-09-02;181743;156;209649;1.282;366
44523;209772;2011-09-05;181866;69;209772;0.123;366;211321;2011-09-30;183218;156;211321;0.700;366
44523;211128;2011-09-29;183025;55;211128;0.495;366;209649;2011-09-02;181743;156;209649;1.282;366
44523;211128;2011-09-29;183025;55;211128;0.495;366;209772;2011-09-05;181866;69;209772;0.123;366
44523;211128;2011-09-29;183025;55;211128;0.495;366;211321;2011-09-30;183218;156;211321;0.700;366
44523;211128;2011-09-29;183025;55;211128;0.495;366;211461;2011-10-04;183358;69;211461;0.072;366
44523;211461;2011-10-04;183358;69;211461;0.072;366;209649;2011-09-02;181743;156;209649;1.282;366
44523;211461;2011-10-04;183358;69;211461;0.072;366;211321;2011-09-30;183218;156;211321;0.700;366
44524;209417;2011-09-01;181511;55;209417;0.682;366;209677;2011-09-02;181771;156;209677;1.015;366
44524;209417;2011-09-01;181511;55;209417;0.682;366;209745;2011-09-05;181839;69;209745;0.093;366
44524;209417;2011-09-01;181511;55;209417;0.682;366;211307;2011-09-30;183204;156;211307;0.763;366
44524;209417;2011-09-01;181511;55;209417;0.682;366;211411;2011-10-04;183308;69;211411;0.083;366
44524;209745;2011-09-05;181839;69;209745;0.093;366;209677;2011-09-02;181771;156;209677;1.015;366
44524;209745;2011-09-05;181839;69;209745;0.093;366;211307;2011-09-30;183204;156;211307;0.763;366
44524;211123;2011-09-29;183020;55;211123;0.652;366;209677;2011-09-02;181771;156;209677;1.015;366
44524;211123;2011-09-29;183020;55;211123;0.652;366;209745;2011-09-05;181839;69;209745;0.093;366
44524;211123;2011-09-29;183020;55;211123;0.652;366;211307;2011-09-30;183204;156;211307;0.763;366
44524;211123;2011-09-29;183020;55;211123;0.652;366;211411;2011-10-04;183308;69;211411;0.083;366
44524;211411;2011-10-04;183308;69;211411;0.083;366;209677;2011-09-02;181771;156;209677;1.015;366
44524;211411;2011-10-04;183308;69;211411;0.083;366;211307;2011-09-30;183204;156;211307;0.763;366
44525;209416;2011-09-01;181510;55;209416;0.582;366;209659;2011-09-02;181753;156;209659;0.843;366
44525;209416;2011-09-01;181510;55;209416;0.582;366;209754;2011-09-05;181848;69;209754;0.078;366
44525;209416;2011-09-01;181510;55;209416;0.582;366;211317;2011-09-30;183214;156;211317;0.937;366
44525;209416;2011-09-01;181510;55;209416;0.582;366;211410;2011-10-04;183307;69;211410;0.108;366
44525;209754;2011-09-05;181848;69;209754;0.078;366;209659;2011-09-02;181753;156;209659;0.843;366
44525;209754;2011-09-05;181848;69;209754;0.078;366;211317;2011-09-30;183214;156;211317;0.937;366
44525;211125;2011-09-29;183022;55;211125;0.826;366;209659;2011-09-02;181753;156;209659;0.843;366
44525;211125;2011-09-29;183022;55;211125;0.826;366;209754;2011-09-05;181848;69;209754;0.078;366
44525;211125;2011-09-29;183022;55;211125;0.826;366;211317;2011-09-30;183214;156;211317;0.937;366
44525;211125;2011-09-29;183022;55;211125;0.826;366;211410;2011-10-04;183307;69;211410;0.108;366
44525;211410;2011-10-04;183307;69;211410;0.108;366;209659;2011-09-02;181753;156;209659;0.843;366
44525;211410;2011-10-04;183307;69;211410;0.108;366;211317;2011-09-30;183214;156;211317;0.937;366
44526;209420;2011-09-01;181514;55;209420;1.212;366;209650;2011-09-02;181744;156;209650;1.504;366
44526;209420;2011-09-01;181514;55;209420;1.212;366;209767;2011-09-05;181861;69;209767;0.143;366
44526;209420;2011-09-01;181514;55;209420;1.212;366;211316;2011-09-30;183213;156;211316;0.654;366
44526;209420;2011-09-01;181514;55;209420;1.212;366;211460;2011-10-04;183357;69;211460;0.064;366
44526;209767;2011-09-05;181861;69;209767;0.143;366;209650;2011-09-02;181744;156;209650;1.504;366
44526;209767;2011-09-05;181861;69;209767;0.143;366;211316;2011-09-30;183213;156;211316;0.654;366
44526;211127;2011-09-29;183024;55;211127;0.446;366;209650;2011-09-02;181744;156;209650;1.504;366
44526;211127;2011-09-29;183024;55;211127;0.446;366;209767;2011-09-05;181861;69;209767;0.143;366
44526;211127;2011-09-29;183024;55;211127;0.446;366;211316;2011-09-30;183213;156;211316;0.654;366
44526;211127;2011-09-29;183024;55;211127;0.446;366;211460;2011-10-04;183357;69;211460;0.064;366
44526;211460;2011-10-04;183357;69;211460;0.064;366;209650;2011-09-02;181744;156;209650;1.504;366
44526;211460;2011-10-04;183357;69;211460;0.064;366;211316;2011-09-30;183213;156;211316;0.654;366
44527;208084;2011-08-29;180378;55;208084;0.479;366;208837;2011-08-31;180931;69;208837;0.066;366
44527;208084;2011-08-29;180378;55;208084;0.479;366;210537;2011-09-27;182631;156;210537;0.738;366
