sample_id;subspecies;p1_id;p1_date;pv1_id;pv1_value_id;pv1_phenotype_id;pv1_number;p2_id;p2_date;pv2_id;pv2_value_id;pv2_phenotype_id;pv2_number;p3_id;p3_date;pv3_id;pv3_value_id;pv3_phenotype_id;pv3_number;entity_id;is_valid;value
1074508;1;13346;2011-09-01;10970;55;13346;0.698;13503;2011-09-02;11127;156;13503;0.938;15038;2011-10-04;12465;69;15038;0.139;366;6;0.69962
1074508;1;13346;2011-09-01;10970;55;13346;0.698;14958;2011-09-30;12385;156;14958;1.312;13598;2011-09-05;11222;69;13598;0.074;366;6;0.50404
1074508;1;13346;2011-09-01;10970;55;13346;0.698;14958;2011-09-30;12385;156;14958;1.312;15038;2011-10-04;12465;69;15038;0.139;366;6;0.47656
1074508;1;14864;2011-09-29;12291;55;14864;1.135;13503;2011-09-02;11127;156;13503;0.938;13598;2011-09-05;11222;69;13598;0.074;366;0;1.22801
1074508;1;14864;2011-09-29;12291;55;14864;1.135;13503;2011-09-02;11127;156;13503;0.938;15038;2011-10-04;12465;69;15038;0.139;366;0;1.24656
1074508;1;14864;2011-09-29;12291;55;14864;1.135;14958;2011-09-30;12385;156;14958;1.312;13598;2011-09-05;11222;69;13598;0.074;366;6;0.85703
1074508;1;14864;2011-09-29;12291;55;14864;1.135;14958;2011-09-30;12385;156;14958;1.312;15038;2011-10-04;12465;69;15038;0.139;366;7;0.84910
1074509;1;13347;2011-09-01;10971;55;13347;1.018;13512;2011-09-02;11136;156;13512;1.208;13592;2011-09-05;11216;69;13592;0.119;366;7;0.82553
1074509;1;13347;2011-09-01;10971;55;13347;1.018;13512;2011-09-02;11136;156;13512;1.208;15039;2011-10-04;12466;69;15039;0.145;366;6;0.82126
1074509;1;13347;2011-09-01;10971;55;13347;1.018;14948;2011-09-30;12375;156;14948;1.633;13592;2011-09-05;11216;69;13592;0.119;366;6;0.59379
1074509;1;13347;2011-09-01;10971;55;13347;1.018;14948;2011-09-30;12375;156;14948;1.633;15039;2011-10-04;12466;69;15039;0.145;366;6;0.58669
1074509;1;14862;2011-09-29;12289;55;14862;1.273;13512;2011-09-02;11136;156;13512;1.208;13592;2011-09-05;11216;69;13592;0.119;366;0;1.05969
1074509;1;14862;2011-09-29;12289;55;14862;1.273;13512;2011-09-02;11136;156;13512;1.208;15039;2011-10-04;12466;69;15039;0.145;366;0;1.06115
1074509;1;14862;2011-09-29;12289;55;14862;1.273;14948;2011-09-30;12375;156;14948;1.633;13592;2011-09-05;11216;69;13592;0.119;366;6;0.76222
1074509;1;14862;2011-09-29;12289;55;14862;1.273;14948;2011-09-30;12375;156;14948;1.633;15039;2011-10-04;12466;69;15039;0.145;366;7;0.75806
1074510;1;13363;2011-09-01;10987;55;13363;1.071;13486;2011-09-02;11110;156;13486;1.396;13611;2011-09-05;11235;69;13611;0.121;366;7;0.74510
1074510;1;13363;2011-09-01;10987;55;13363;1.071;13486;2011-09-02;11110;156;13486;1.396;15040;2011-10-04;12467;69;15040;0.071;366;6;0.75472
1074510;1;13363;2011-09-01;10987;55;13363;1.071;15004;2011-09-30;12431;156;15004;0.666;13611;2011-09-05;11235;69;13611;0.121;366;0;1.74312
1074510;1;13363;2011-09-01;10987;55;13363;1.071;15004;2011-09-30;12431;156;15004;0.666;15040;2011-10-04;12467;69;15040;0.071;366;0;1.68067
1074510;1;14880;2011-09-29;12307;55;14880;0.532;13486;2011-09-02;11110;156;13486;1.396;13611;2011-09-05;11235;69;13611;0.121;366;6;0.32235
1074510;1;14880;2011-09-29;12307;55;14880;0.532;13486;2011-09-02;11110;156;13486;1.396;15040;2011-10-04;12467;69;15040;0.071;366;6;0.34792
1074510;1;14880;2011-09-29;12307;55;14880;0.532;15004;2011-09-30;12431;156;15004;0.666;13611;2011-09-05;11235;69;13611;0.121;366;6;0.75413
1074510;1;14880;2011-09-29;12307;55;14880;0.532;15004;2011-09-30;12431;156;15004;0.666;15040;2011-10-04;12467;69;15040;0.071;366;7;0.77479
1074511;1;13362;2011-09-01;10986;55;13362;0.963;13455;2011-09-02;11079;156;13455;1.268;13551;2011-09-05;11175;69;13551;0.108;366;7;0.73707
1074511;1;13362;2011-09-01;10986;55;13362;0.963;13455;2011-09-02;11079;156;13455;1.268;15041;2011-10-04;12468;69;15041;0.09;366;6;0.74109
1074511;1;13362;2011-09-01;10986;55;13362;0.963;14946;2011-09-30;12373;156;14946;0.991;13551;2011-09-05;11175;69;13551;0.108;366;6;0.96829
1074511;1;13362;2011-09-01;10986;55;13362;0.963;14946;2011-09-30;12373;156;14946;0.991;15041;2011-10-04;12468;69;15041;0.09;366;6;0.96892
1074511;1;14877;2011-09-29;12304;55;14877;0.778;13455;2011-09-02;11079;156;13455;1.268;13551;2011-09-05;11175;69;13551;0.108;366;6;0.57759
1074511;1;14877;2011-09-29;12304;55;14877;0.778;13455;2011-09-02;11079;156;13455;1.268;15041;2011-10-04;12468;69;15041;0.09;366;6;0.58404
1074511;1;14877;2011-09-29;12304;55;14877;0.778;14946;2011-09-30;12373;156;14946;0.991;13551;2011-09-05;11175;69;13551;0.108;366;6;0.75878
1074511;1;14877;2011-09-29;12304;55;14877;0.778;14946;2011-09-30;12373;156;14946;0.991;15041;2011-10-04;12468;69;15041;0.09;366;7;0.76360
1074512;1;13361;2011-09-01;10985;55;13361;1.098;13487;2011-09-02;11111;156;13487;1.477;13610;2011-09-05;11234;69;13610;0.123;366;7;0.72009
1074512;1;13361;2011-09-01;10985;55;13361;1.098;13487;2011-09-02;11111;156;13487;1.477;15042;2011-10-04;12469;69;15042;0.054;366;6;0.73366
1074512;1;13361;2011-09-01;10985;55;13361;1.098;14951;2011-09-30;12378;156;14951;0.512;13610;2011-09-05;11234;69;13610;0.123;366;0;2.50643
1074512;1;13361;2011-09-01;10985;55;13361;1.098;14951;2011-09-30;12378;156;14951;0.512;15042;2011-10-04;12469;69;15042;0.054;366;0;2.27948
1074512;1;14878;2011-09-29;12305;55;14878;0.411;13487;2011-09-02;11111;156;13487;1.477;13610;2011-09-05;11234;69;13610;0.123;366;6;0.21270
1074512;1;14878;2011-09-29;12305;55;14878;0.411;13487;2011-09-02;11111;156;13487;1.477;15042;2011-10-04;12469;69;15042;0.054;366;6;0.25088
1074512;1;14878;2011-09-29;12305;55;14878;0.411;14951;2011-09-30;12378;156;14951;0.512;13610;2011-09-05;11234;69;13610;0.123;366;6;0.74036
1074512;1;14878;2011-09-29;12305;55;14878;0.411;14951;2011-09-30;12378;156;14951;0.512;15042;2011-10-04;12469;69;15042;0.054;366;7;0.77948
1074513;1;13364;2011-09-01;10988;55;13364;0.95;13488;2011-09-02;11112;156;13488;1.202;13613;2011-09-05;11237;69;13613;0.098;366;7;0.77174
1074513;1;13364;2011-09-01;10988;55;13364;0.95;13488;2011-09-02;11112;156;13488;1.202;15043;2011-10-04;12470;69;15043;0.09;366;6;0.77338
1074513;1;13364;2011-09-01;10988;55;13364;0.95;14942;2011-09-30;12369;156;14942;1.034;13613;2011-09-05;11237;69;13613;0.098;366;6;0.91026
1074513;1;13364;2011-09-01;10988;55;13364;0.95;14942;2011-09-30;12369;156;14942;1.034;15043;2011-10-04;12470;69;15043;0.09;366;6;0.91102
1074513;1;14879;2011-09-29;12306;55;14879;0.745;13488;2011-09-02;11112;156;13488;1.202;13613;2011-09-05;11237;69;13613;0.098;366;6;0.58605
1074513;1;14879;2011-09-29;12306;55;14879;0.745;13488;2011-09-02;11112;156;13488;1.202;15043;2011-10-04;12470;69;15043;0.09;366;6;0.58903
1074513;1;14879;2011-09-29;12306;55;14879;0.745;14942;2011-09-30;12369;156;14942;1.034;13613;2011-09-05;11237;69;13613;0.098;366;6;0.69124
1074513;1;14879;2011-09-29;12306;55;14879;0.745;14942;2011-09-30;12369;156;14942;1.034;15043;2011-10-04;12470;69;15043;0.09;366;7;0.69386
1074515;1;13413;2011-09-01;11037;55;13413;0.828;13462;2011-09-02;11086;156;13462;1.137;13544;2011-09-05;11168;69;13544;0.093;366;7;0.70402
1074515;1;13413;2011-09-01;11037;55;13413;0.828;13462;2011-09-02;11086;156;13462;1.137;15044;2011-10-04;12471;69;15044;0.104;366;6;0.70087
1074515;1;13413;2011-09-01;11037;55;13413;0.828;15033;2011-09-30;12460;156;15033;0.903;13544;2011-09-05;11168;69;13544;0.093;366;6;0.90741
1074515;1;13413;2011-09-01;11037;55;13413;0.828;15033;2011-09-30;12460;156;15033;0.903;15044;2011-10-04;12471;69;15044;0.104;366;6;0.90613
1074515;1;14930;2011-09-29;12357;55;14930;0.788;13462;2011-09-02;11086;156;13462;1.137;13544;2011-09-05;11168;69;13544;0.093;366;6;0.66571
1074515;1;14930;2011-09-29;12357;55;14930;0.788;13462;2011-09-02;11086;156;13462;1.137;15044;2011-10-04;12471;69;15044;0.104;366;6;0.66215
1074515;1;14930;2011-09-29;12357;55;14930;0.788;15033;2011-09-30;12460;156;15033;0.903;13544;2011-09-05;11168;69;13544;0.093;366;6;0.85802
1074515;1;14930;2011-09-29;12357;55;14930;0.788;15033;2011-09-30;12460;156;15033;0.903;15044;2011-10-04;12471;69;15044;0.104;366;7;0.85607
1074516;1;13416;2011-09-01;11040;55;13416;0.491;13483;2011-09-02;11107;156;13483;0.604;13525;2011-09-05;11149;69;13525;0.059;366;7;0.79266
1074516;1;13416;2011-09-01;11040;55;13416;0.491;13483;2011-09-02;11107;156;13483;0.604;15045;2011-10-04;12472;69;15045;0.145;366;6;0.75381
1074516;1;13416;2011-09-01;11040;55;13416;0.491;15029;2011-09-30;12456;156;15029;1.481;13525;2011-09-05;11149;69;13525;0.059;366;6;0.30380
1074516;1;13416;2011-09-01;11040;55;13416;0.491;15029;2011-09-30;12456;156;15029;1.481;15045;2011-10-04;12472;69;15045;0.145;366;6;0.25898
1074516;1;14932;2011-09-29;12359;55;14932;1.375;13483;2011-09-02;11107;156;13483;0.604;13525;2011-09-05;11149;69;13525;0.059;366;0;2.41468
1074516;1;14932;2011-09-29;12359;55;14932;1.375;13483;2011-09-02;11107;156;13483;0.604;15045;2011-10-04;12472;69;15045;0.145;366;0;2.67974
1074516;1;14932;2011-09-29;12359;55;14932;1.375;15029;2011-09-30;12456;156;15029;1.481;13525;2011-09-05;11149;69;13525;0.059;366;6;0.92546
1074516;1;14932;2011-09-29;12359;55;14932;1.375;15029;2011-09-30;12456;156;15029;1.481;15045;2011-10-04;12472;69;15045;0.145;366;7;0.92066
1074517;1;13415;2011-09-01;11039;55;13415;1.129;13473;2011-09-02;11097;156;13473;1.406;13534;2011-09-05;11158;69;13534;0.117;366;7;0.78510
1074517;1;13415;2011-09-01;11039;55;13415;1.129;13473;2011-09-02;11097;156;13473;1.406;15046;2011-10-04;12473;69;15046;0.135;366;6;0.78206
1074517;1;13415;2011-09-01;11039;55;13415;1.129;15034;2011-09-30;12461;156;15034;1.252;13534;2011-09-05;11158;69;13534;0.117;366;6;0.89163
1074517;1;13415;2011-09-01;11039;55;13415;1.129;15034;2011-09-30;12461;156;15034;1.252;15046;2011-10-04;12473;69;15046;0.135;366;6;0.88988
1074517;1;14931;2011-09-29;12358;55;14931;1.098;13473;2011-09-02;11097;156;13473;1.406;13534;2011-09-05;11158;69;13534;0.117;366;6;0.76106
1074517;1;14931;2011-09-29;12358;55;14931;1.098;13473;2011-09-02;11097;156;13473;1.406;15046;2011-10-04;12473;69;15046;0.135;366;6;0.75767
1074517;1;14931;2011-09-29;12358;55;14931;1.098;15034;2011-09-30;12461;156;15034;1.252;13534;2011-09-05;11158;69;13534;0.117;366;6;0.86432
1074517;1;14931;2011-09-29;12358;55;14931;1.098;15034;2011-09-30;12461;156;15034;1.252;15046;2011-10-04;12473;69;15046;0.135;366;7;0.86213
1074518;1;13414;2011-09-01;11038;55;13414;0.842;13466;2011-09-02;11090;156;13466;1.068;13541;2011-09-05;11165;69;13541;0.095;366;7;0.76773
1074518;1;13414;2011-09-01;11038;55;13414;0.842;13466;2011-09-02;11090;156;13466;1.068;15047;2011-10-04;12474;69;15047;0.089;366;6;0.76915
1074518;1;13414;2011-09-01;11038;55;13414;0.842;15028;2011-09-30;12455;156;15028;0.902;13541;2011-09-05;11165;69;13541;0.095;366;6;0.92565
1074518;1;13414;2011-09-01;11038;55;13414;0.842;15028;2011-09-30;12455;156;15028;0.902;15047;2011-10-04;12474;69;15047;0.089;366;6;0.92620
1074518;1;14929;2011-09-29;12356;55;14929;0.688;13466;2011-09-02;11090;156;13466;1.068;13541;2011-09-05;11165;69;13541;0.095;366;6;0.60946
1074518;1;14929;2011-09-29;12356;55;14929;0.688;13466;2011-09-02;11090;156;13466;1.068;15047;2011-10-04;12474;69;15047;0.089;366;6;0.61185
1074518;1;14929;2011-09-29;12356;55;14929;0.688;15028;2011-09-30;12455;156;15028;0.902;13541;2011-09-05;11165;69;13541;0.095;366;6;0.73482
1074518;1;14929;2011-09-29;12356;55;14929;0.688;15028;2011-09-30;12455;156;15028;0.902;15047;2011-10-04;12474;69;15047;0.089;366;7;0.73678
1074519;1;12125;2011-08-29;9949;55;12125;0.626;14279;2011-09-27;11903;156;14279;0.783;12762;2011-08-31;10386;69;12762;0.079;366;6;0.77699
1074519;1;12125;2011-08-29;9949;55;12125;0.626;14279;2011-09-27;11903;156;14279;0.783;14769;2011-09-29;12196;69;14769;0.080;366;6;0.77667
1074519;1;14191;2011-09-26;11815;55;14191;0.615;14279;2011-09-27;11903;156;14279;0.783;12762;2011-08-31;10386;69;12762;0.079;366;6;0.76136
1074519;1;14191;2011-09-26;11815;55;14191;0.615;14279;2011-09-27;11903;156;14279;0.783;14769;2011-09-29;12196;69;14769;0.080;366;7;0.76102
1074520;1;12126;2011-08-29;9950;55;12126;0.576;14273;2011-09-27;11897;156;14273;0.667;12751;2011-08-31;10375;69;12751;0.075;366;6;0.84628
1074520;1;12126;2011-08-29;9950;55;12126;0.576;14273;2011-09-27;11897;156;14273;0.667;14766;2011-09-29;12193;69;14766;0.071;366;6;0.84732
1074520;1;14192;2011-09-26;11816;55;14192;0.503;14273;2011-09-27;11897;156;14273;0.667;12751;2011-08-31;10375;69;12751;0.075;366;6;0.72297
1074520;1;14192;2011-09-26;11816;55;14192;0.503;14273;2011-09-27;11897;156;14273;0.667;14766;2011-09-29;12193;69;14766;0.071;366;7;0.72483
1074521;1;12128;2011-08-29;9952;55;12128;0.697;14282;2011-09-27;11906;156;14282;0.789;12770;2011-08-31;10394;69;12770;0.079;366;6;0.87042
1074521;1;12128;2011-08-29;9952;55;12128;0.697;14282;2011-09-27;11906;156;14282;0.789;14774;2011-09-29;12201;69;14774;0.081;366;6;0.87006
1074521;1;14190;2011-09-26;11814;55;14190;0.558;14282;2011-09-27;11906;156;14282;0.789;12770;2011-08-31;10394;69;12770;0.079;366;6;0.67465
1074521;1;14190;2011-09-26;11814;55;14190;0.558;14282;2011-09-27;11906;156;14282;0.789;14774;2011-09-29;12201;69;14774;0.081;366;7;0.67373
1074522;1;12127;2011-08-29;9951;55;12127;0.432;14287;2011-09-27;11911;156;14287;0.597;12778;2011-08-31;10402;69;12778;0.058;366;6;0.69388
1074522;1;12127;2011-08-29;9951;55;12127;0.432;14287;2011-09-27;11911;156;14287;0.597;14779;2011-09-29;12206;69;14779;0.061;366;6;0.69216
1074522;1;14189;2011-09-26;11813;55;14189;0.429;14287;2011-09-27;11911;156;14287;0.597;12778;2011-08-31;10402;69;12778;0.058;366;6;0.68831
1074522;1;14189;2011-09-26;11813;55;14189;0.429;14287;2011-09-27;11911;156;14287;0.597;14779;2011-09-29;12206;69;14779;0.061;366;7;0.68657
1074524;1;12144;2011-08-29;9968;55;12144;0.929;14305;2011-09-27;11929;156;14305;0.514;12695;2011-08-31;10319;69;12695;0.108;366;0;2.02217
1074524;1;12144;2011-08-29;9968;55;12144;0.929;14305;2011-09-27;11929;156;14305;0.514;14797;2011-09-29;12224;69;14797;0.051;366;0;1.89633
1074524;1;14207;2011-09-26;11831;55;14207;0.352;14305;2011-09-27;11929;156;14305;0.514;12695;2011-08-31;10319;69;12695;0.108;366;6;0.60099
1074524;1;14207;2011-09-26;11831;55;14207;0.352;14305;2011-09-27;11929;156;14305;0.514;14797;2011-09-29;12224;69;14797;0.051;366;7;0.65011
1074525;1;12143;2011-08-29;9967;55;12143;0.628;14313;2011-09-27;11937;156;14313;1.276;12712;2011-08-31;10336;69;12712;0.077;366;6;0.45955
1074525;1;12143;2011-08-29;9967;55;12143;0.628;14313;2011-09-27;11937;156;14313;1.276;14808;2011-09-29;12235;69;14808;0.131;366;6;0.43406
1074525;1;14205;2011-09-26;11829;55;14205;1.169;14313;2011-09-27;11937;156;14313;1.276;12712;2011-08-31;10336;69;12712;0.077;366;6;0.91076
1074525;1;14205;2011-09-26;11829;55;14205;1.169;14313;2011-09-27;11937;156;14313;1.276;14808;2011-09-29;12235;69;14808;0.131;366;7;0.90655
1074526;1;12141;2011-08-29;9965;55;12141;0.497;14308;2011-09-27;11932;156;14308;1.126;12692;2011-08-31;10316;69;12692;0.064;366;6;0.40772
1074526;1;12141;2011-08-29;9965;55;12141;0.497;14308;2011-09-27;11932;156;14308;1.126;14799;2011-09-29;12226;69;14799;0.108;366;6;0.38212
1074526;1;14206;2011-09-26;11830;55;14206;0.929;14308;2011-09-27;11932;156;14308;1.126;12692;2011-08-31;10316;69;12692;0.064;366;6;0.81450
1074526;1;14206;2011-09-26;11830;55;14206;0.929;14308;2011-09-27;11932;156;14308;1.126;14799;2011-09-29;12226;69;14799;0.108;366;7;0.80648
1074527;1;12142;2011-08-29;9966;55;12142;0.71;14299;2011-09-27;11923;156;14299;0.550;12707;2011-08-31;10331;69;12707;0.083;366;0;1.34261
1074527;1;12142;2011-08-29;9966;55;12142;0.71;14299;2011-09-27;11923;156;14299;0.550;14792;2011-09-29;12219;69;14792;0.052;366;0;1.32129
1074527;1;14208;2011-09-26;11832;55;14208;0.369;14299;2011-09-27;11923;156;14299;0.550;12707;2011-08-31;10331;69;12707;0.083;366;6;0.61242
1074527;1;14208;2011-09-26;11832;55;14208;0.369;14299;2011-09-27;11923;156;14299;0.550;14792;2011-09-29;12219;69;14792;0.052;366;7;0.63655
1074528;1;12192;2011-08-29;10016;55;12192;0.698;14338;2011-09-27;11962;156;14338;2.218;12738;2011-08-31;10362;69;12738;0.085;366;6;0.28739
1074528;1;12192;2011-08-29;10016;55;12192;0.698;14338;2011-09-27;11962;156;14338;2.218;14835;2011-09-29;12262;69;14835;0.185;366;6;0.25234
1074528;1;14249;2011-09-26;11873;55;14249;1.857;14338;2011-09-27;11962;156;14338;2.218;12738;2011-08-31;10362;69;12738;0.085;366;6;0.83075
1074528;1;14249;2011-09-26;11873;55;14249;1.857;14338;2011-09-27;11962;156;14338;2.218;14835;2011-09-29;12262;69;14835;0.185;366;7;0.82243
1074529;1;12190;2011-08-29;10014;55;12190;1.042;14334;2011-09-27;11958;156;14334;0.802;12735;2011-08-31;10359;69;12735;0.103;366;0;1.34335
1074529;1;12190;2011-08-29;10014;55;12190;1.042;14334;2011-09-27;11958;156;14334;0.802;14841;2011-09-29;12268;69;14841;0.081;366;0;1.33287
1074529;1;14250;2011-09-26;11874;55;14250;0.599;14334;2011-09-27;11958;156;14334;0.802;12735;2011-08-31;10359;69;12735;0.103;366;6;0.70959
1074529;1;14250;2011-09-26;11874;55;14250;0.599;14334;2011-09-27;11958;156;14334;0.802;14841;2011-09-29;12268;69;14841;0.081;366;7;0.71845
1074530;1;12189;2011-08-29;10013;55;12189;0.704;14330;2011-09-27;11954;156;14330;0.786;12723;2011-08-31;10347;69;12723;0.084;366;6;0.88319
1074530;1;12189;2011-08-29;10013;55;12189;0.704;14330;2011-09-27;11954;156;14330;0.786;14823;2011-09-29;12250;69;14823;0.085;366;6;0.88302
1074530;1;14251;2011-09-26;11875;55;14251;0.656;14330;2011-09-27;11954;156;14330;0.786;12723;2011-08-31;10347;69;12723;0.084;366;6;0.81481
1074530;1;14251;2011-09-26;11875;55;14251;0.656;14330;2011-09-27;11954;156;14330;0.786;14823;2011-09-29;12250;69;14823;0.085;366;7;0.81455
1074531;1;12191;2011-08-29;10015;55;12191;0.641;14327;2011-09-27;11951;156;14327;0.790;12736;2011-08-31;10360;69;12736;0.082;366;6;0.78955
1074531;1;12191;2011-08-29;10015;55;12191;0.641;14327;2011-09-27;11951;156;14327;0.790;14820;2011-09-29;12247;69;14820;0.084;366;6;0.78895
1074531;1;14252;2011-09-26;11876;55;14252;0.645;14327;2011-09-27;11951;156;14327;0.790;12736;2011-08-31;10360;69;12736;0.082;366;6;0.79520
1074531;1;14252;2011-09-26;11876;55;14252;0.645;14327;2011-09-27;11951;156;14327;0.790;14820;2011-09-29;12247;69;14820;0.084;366;7;0.79462
1074532;1;12111;2011-08-29;9935;55;12111;0.793;14289;2011-09-27;11913;156;14289;0.736;12754;2011-08-31;10378;69;12754;0.091;366;0;1.08837
1074532;1;12111;2011-08-29;9935;55;12111;0.793;14289;2011-09-27;11913;156;14289;0.736;14781;2011-09-29;12208;69;14781;0.065;366;0;1.08495
1074532;1;14175;2011-09-26;11799;55;14175;0.487;14289;2011-09-27;11913;156;14289;0.736;12754;2011-08-31;10378;69;12754;0.091;366;6;0.61395
1074532;1;14175;2011-09-26;11799;55;14175;0.487;14289;2011-09-27;11913;156;14289;0.736;14781;2011-09-29;12208;69;14781;0.065;366;7;0.62891
1074533;1;12109;2011-08-29;9933;55;12109;0.753;14259;2011-09-27;11883;156;14259;0.689;12768;2011-08-31;10392;69;12768;0.093;366;0;1.10738
1074533;1;12109;2011-08-29;9933;55;12109;0.753;14259;2011-09-27;11883;156;14259;0.689;14749;2011-09-29;12176;69;14749;0.056;366;0;1.10111
1074533;1;14174;2011-09-26;11798;55;14174;0.462;14259;2011-09-27;11883;156;14259;0.689;12768;2011-08-31;10392;69;12768;0.093;366;6;0.61913
1074533;1;14174;2011-09-26;11798;55;14174;0.462;14259;2011-09-27;11883;156;14259;0.689;14749;2011-09-29;12176;69;14749;0.056;366;7;0.64139
1074534;1;12110;2011-08-29;9934;55;12110;0.412;14260;2011-09-27;11884;156;14260;0.759;12759;2011-08-31;10383;69;12759;0.055;366;6;0.50710
1074534;1;12110;2011-08-29;9934;55;12110;0.412;14260;2011-09-27;11884;156;14260;0.759;14754;2011-09-29;12181;69;14754;0.067;366;6;0.49855
1074534;1;14173;2011-09-26;11797;55;14173;0.523;14260;2011-09-27;11884;156;14260;0.759;12759;2011-08-31;10383;69;12759;0.055;366;6;0.66477
1074534;1;14173;2011-09-26;11797;55;14173;0.523;14260;2011-09-27;11884;156;14260;0.759;14754;2011-09-29;12181;69;14754;0.067;366;7;0.65896
1074535;1;12112;2011-08-29;9936;55;12112;0.636;14284;2011-09-27;11908;156;14284;0.822;12781;2011-08-31;10405;69;12781;0.085;366;6;0.74763
1074535;1;12112;2011-08-29;9936;55;12112;0.636;14284;2011-09-27;11908;156;14284;0.822;14776;2011-09-29;12203;69;14776;0.071;366;6;0.75233
1074535;1;14176;2011-09-26;11800;55;14176;0.515;14284;2011-09-27;11908;156;14284;0.822;12781;2011-08-31;10405;69;12781;0.085;366;6;0.58345
1074535;1;14176;2011-09-26;11800;55;14176;0.515;14284;2011-09-27;11908;156;14284;0.822;14776;2011-09-29;12203;69;14776;0.071;366;7;0.59121
1074536;1;12148;2011-08-29;9972;55;12148;0.457;14293;2011-09-27;11917;156;14293;0.622;12691;2011-08-31;10315;69;12691;0.067;366;6;0.70270
1074536;1;12148;2011-08-29;9972;55;12148;0.457;14293;2011-09-27;11917;156;14293;0.622;14785;2011-09-29;12212;69;14785;0.059;366;6;0.70693
1074536;1;14209;2011-09-26;11833;55;14209;0.404;14293;2011-09-27;11917;156;14293;0.622;12691;2011-08-31;10315;69;12691;0.067;366;6;0.60721
1074536;1;14209;2011-09-26;11833;55;14209;0.404;14293;2011-09-27;11917;156;14293;0.622;14785;2011-09-29;12212;69;14785;0.059;366;7;0.61279
1074537;1;12145;2011-08-29;9969;55;12145;0.59;14319;2011-09-27;11943;156;14319;0.613;12690;2011-08-31;10314;69;12690;0.078;366;6;0.95701
1074537;1;12145;2011-08-29;9969;55;12145;0.59;14319;2011-09-27;11943;156;14319;0.613;14811;2011-09-29;12238;69;14811;0.061;366;6;0.95833
1074537;1;14211;2011-09-26;11835;55;14211;0.401;14319;2011-09-27;11943;156;14319;0.613;12690;2011-08-31;10314;69;12690;0.078;366;6;0.60374
1074537;1;14211;2011-09-26;11835;55;14211;0.401;14319;2011-09-27;11943;156;14319;0.613;14811;2011-09-29;12238;69;14811;0.061;366;7;0.61594
1074538;1;12147;2011-08-29;9971;55;12147;0.451;14326;2011-09-27;11950;156;14326;0.686;12713;2011-08-31;10337;69;12713;0.061;366;6;0.62400
